Bangladesh medical journal,Bangladesh Med J
Cahiers d'odonto-stomatologie,Cah Odontostomatol Touraine
Digest of neurology and psychiatry,Dig Neurol Psychiatr
Changing times,Changing Times
Annals of physical and rehabilitation medicine,Ann Phys Rehabil Med
The Astrophysical journal. Supplement series,Astrophys J Suppl Ser
National safety news,Natl Saf News
Acta medicinae Okayama,Acta Med Okayama
CMAJ : Canadian Medical Association journa,CMAJ
Cost \& quality quarterly journal,Cost Qual Q J
Ciencia \& saude coletiva,Cien Saude Colet
"Health economics, policy, and law",Health Econ Policy Law
Studies - Hastings Center,Stud Hastings Cent
Islenha,Rev Islenha
Medical Research Council memorandum,Memo Med Res Counc
Heart failure reviews,Heart Fail Rev
Annals of ophthalmology,Ann Ophthalmol
Ophtalmologie : organe de la Societe francaise d'ophtalmologie,Ophtalmologie
Victorian periodicals review,Vic Period Rev
St. Barnabas Hospital medical bulletin,St Barnabas Hosp Med Bull
Somatic cell genetics,Somatic Cell Genet
"Berichte Aus Der Bonner Universitatsklinik Und Poliklinik Fur Mund-, Zahn- Und Kieferkrankheiten",Ber Bonn Univ Poliklin Mund Zahn Kieferkr
Preventing chronic disease,Prev Chronic Dis
Public finance = Finances publiques,Public Financ
Current opinion in molecular therapeutics,Curr Opin Mol Ther
"Journal of guidance, control, and dynamics",J Guid Control Dyn
Interdisciplinary topics in gerontology,Interdiscip Top Gerontol
Zeitschrift fur experimentelle Chirurgie,Z Exp Chir
The Journal of the Michigan Dental Association,J Mich Dent Assoc
Medicina psicosomatica,Med Psicosom
L' Infirmiere,Infirmiere
Supplement ... to the journal Medical oncology and tumor pharmacotherapy,Suppl J Med Oncol Tumor Pharmacother
Cancer genetics and cytogenetics,Cancer Genet Cytogenet
Acta endocrinologica Iberica,Acta Endocrinol Iber
Journal of mental deficiency research,J Ment Defic Res
"Europe, outremer",Eur Om
"Bulletin. Charlotte, N. C. Charlotte Memorial Hospital",Bull Charlotte Meml Hosp
American journal of clinical oncology,Am J Clin Oncol
Grudnaia i serdechno-sosudistaia khirurgiia / Ministerstvo zdravookhraneniia SSSR [i] Vsesoiuznoe nauchnoe obshchestvo khirurgov,Grud Serdechnososudistaia Khir
"Ciclos en la historia, la economia y la sociedad",Ciclos Hist Econom Soc
Abdominal surgery,Abdom Surg
Revista de medicina militar,Rev Med Mil
Clinical and vaccine immunology : CVI,Clin Vaccine Immunol
"Channels (Austin, Tex.)",Channels (Austin)
Aeromedical reviews,Aeromed Rev
Bruns' Beitrage fur klinische Chirurgie,Bruns Beitr Klin Chir
"Soins. Formation, pedagogie, encadrement : avec la participation du CEEIEC",Soins Form Pedagog Encadr
Scripta ethnologica (Centro Argentino de Etnologia Americana),Scr Ethnol
Ji sheng chong xue yu ji sheng chong bing za zhi = Journal of parasitology \& parasitic diseases,Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi
Journal of reproductive immunology,J Reprod Immunol
Military law review,Mil Law Rev
Detroit dental bulletin,Detroit Dent Bull
Microbes and infection / Institut Pasteur,Microbes Infect
Christianity and crisis,Christ Crisis
Health care cost reengineering report,Health Care Cost Reengineering Rep
Geographicalia,Geographicalia
Studies in philosophy of medicine,Stud Philos Med
Physician's world,Physicians World
ICEA news,Icea News
Asian and African studies,Asian Afr Stud
Journal of maternal-fetal investigation : the official journal of French Society of Ultrasound in Medicine and Biology ... [et al.],J Matern Fetal Investig
Journal of neuroinflammation,J Neuroinflammation
Acta medica hidalguense,Acta Med Hidalguense
Diabetes,Diabetes
