EURCOGPSY,European Journal of Cognitive Psychology,Eur. J. Cognit. Psychol.
ACTAPSYBEL,Acta Neurologica Belgica,Acta Neurol. Belg.
BEHAVRESMETH,Behavior Research Methods,Behav. Res. Methods
EXPPSY,Experimental Psychology,Exp. Psychol.
JEP,"Journal of Experimental Psychology: Learning, Memory, and Cognition",J. Exp. Psychol. Learn. Mem. Cogn.
JEPG,Journal of Experimental Psychology: General,J. Exp. Psychol. Gen.
JEPHUMLEARN,Journal of Experimental Psychology: Human Learning and Memory,J. Exp. Psychol. Hum. Learn. Mem.
JEP,"Journal of Experimental Psychology. Learning, Memory, and Cognition",J. Exp. Psychol. Learn. Mem. Cogn.
JEPG,Journal of Experimental Psychology. General,J. Exp. Psychol. Gen.
JEPHUMLEARN,Journal of Experimental Psychology. Human Learning and Memory,J. Exp. Psychol. Hum. Learn. Mem.
QJEP,The Quarterly Journal of Experimental Psychology ,Q. J. Exp. Psychol.
MEMCOG,Memory \& Cognition,Mem. Cognition.
CSCOG,Consciousness and Cognition,Conscious. Cogn.
COGPSY,Cognitive Psychology,Cogn. Psychol.
COGSCI,Cognitive Science,Cogn. Sci.
ANNREVPSY,Annual Review of Psychology,Annu. Rev. Psychol.
PSYCHREV,Psychological Review,Psychol. Rev.
PTRSL,"Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences",Philos. Trans. R. Soc. Lond. B Biol. Sci.
TICS,Trends in Cognitive Sciences,Trends Cogn. Sci.
WIRESCOG,WIREs Cognitive Science,WIREs Cogn. Sci.
PNAS,Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci.
CANEXPSY,Canadian Journal of Experimental Psychology,Can. J. Exp. Psychol.
VERBLEARN,Journal of Verbal Learning and Verbal Behavior,J. Verb. Learn. Verb. Beh.
JMEMLANG,Journal of Memory and Language,J. Mem. Lang.
PSYAGING,Psychology of Aging,Psychol. Aging
AGINGCLIEXPRES,Aging Clinical and Experimental Research,Aging Clin. Exp. Res.
AGINGNEUROCOG,Aging Neuropsychology and Cognition,Aging Neuropsychol. Cogn.
INTGERIATPSY,International Journal of Geriatric Psychiatry,Int. J. Geriatr. Psychiatry
AMGERIATPSY,The American Journal of Geriatric Psychiatry,Am. J. Geriat. Psychiat.
INEUROBIOLAGING,Neurobiology of Aging,Neurobiol. Aging
AJADOD,American Journal of Alzheimer's Disease and Other Dementias,Am. J. Alzheimers Dis. Other Demen.
EXPBRAINRES,Experimental Brain Research,Exp. Brain. Res.
EURJNEURO,European Journal of Neuroscience,Eur. J. Neurosci.
JCOGNEURO,Journal of Cognitive Neuroscience,J. Cog. Neurosci.
BC,Brain \& Cognition,Brain Cogn.
BC,Brain and Cognition,Brain Cogn.
JCLIEXPNEUROP,Journal of Clinical and Experimental Neuropsychology,J. Clin. Exp. Neuropsy.
JINS,Journal of the International Neuropsychological Society,J. Int. Neuropsych. Soc.
ARCHCLINNEURO,Archives of Clinical Neuropsychology,Arch. Clin. Neuropsych.
BIOPSY,Biological Psychology,Biol. Psychol.
NEUROBIOA,Neurobiology of Aging,Neurobiol. Aging
NEUROBIOREV,Neuroscience and Biobehavioral Reviews,Neurosci. Biobehav. Rev.
CUROPNEUROL,Current Opinion in Neurology,Curr. Opin. Neurol.
CUROPNEUROBIO,Current Opinion in Neurobiology,Curr. Opin. Neurobiol.
BEHAVNEURO,Behavioral Neuroscience,Behav. Neurosci.
SOUTHMEDJ,Southern Medical Journal,South Med. J.
JPSYCHRES,Journal of Psychiatric Research,J. Psychiatr. Res.
EXPPSY,Experimental Psychology,Exp. Psy.
PSYAGING,Psychology of Aging,Psychol. of Aging
COGNITION,Cognition,Cognition
NEUROPSYA,Neuropsychologia,Neuropsychologia
NEUROPSY,Neuropsychology,Neuropsychology
NEUROIMAGE,Neuroimage,Neuroimage
INTJOUPSYPHY,International Journal of Psychophysiology,Int. J. Psychophysiol.
ACTAPSY,Acta Psychologica,Acta Psychol.
WIRESCOG,Wiley Interdisciplinary Reviews: Cognitive Science,Wiley Interdiscip. Rev. Cogn. Sci.
PSYSCI,Psychological Science,Psychol. Sci.
NATNEUROSCI,Nature Reviews. Neuroscience,Nat. Neursci.
NEUROLEARMEM,Neurobiology of Learning and Memory,Neurobiol. Learn. Mem.
SCIENCE,Science,Science
REVPSY,La Revue de Neuropsychologie,Rev. Neuropsy.
ANNREVNEURO,Annual Review of Neuroscience,Annu. Rev. Neurosci.
BRAIN,Brain,Brain
BRAINRES,Brain Research,Brain Res.
